,ID,Name,Location,Join Date,Reports To,Highest Qualification,Major,University,All Qualifications,Courses Taught,Major Teaching Field,Relevant Experience,Criteria
92,LT9000339,Byfield Cheri,Bristol,14-Aug-93,Kim Hughes,Master of Business Administrator,Marketing,University of Leicester,"Master of Business Administrator (Marketing), Bachelor of Business Admin. (Business Administration)",SS2533 - Research Methods US1303 - Marketing US3203 - Start Gt Bus Simulation US4643 - Cross Cultural Management,Marketing Management,"years of teaching experience: 21 years of professional and management experience: 2 Professional Certification: IS, FW and TW",Certification
93,LT9252163,Courtney Wood,Bristol,26-Aug-12,Kim Hughes,Master of Business Administrator,International Banking andFinance,University of Birmingham,"Master of Business Administrator (International Banking andFinance), Bachelor of Business Admin. (Business), Master of Business Administrator (Finance)",US4183 - Corporate Finance US4213 - Financial Quantitative Methods US2303 - Financial Management US4263 - Corp Finance and Banking US3203 - Start Gt Bus Simulation,Finance and International Banking and Finance,years of teaching experience: 14 years of professional and management experience: 1,Industry and Teaching experience
94,LT9214892,Ryan Green,Bristol,03-Oct-10,Kim Hughes,Doctorate in Philosophy,Economics,Mill University,"Doctorate in Philosophy (Economics), Masters (Economic Policy Management)",US2203 - Business Stats for Managers US4283 - Islamic Finance and Banking US1103 - Economics for Managers US4243 - International Trade and Finance US4273 - Wealth and Risk Management US4663 - International Trade,Economics and Finance,years of teaching experience: 13 years of professional and management experience: 5,Industry and Teaching experience
95,LT9255429,Peter Fowler,Bristol,02-Feb-14,Kim Hughes,Masters,Accounting and Finance,St. Joseph's University,"Masters (Accounting and Finance), Bachelor (Business Administration), Certificate (Educational Studies)",US3406 - Work Related Learning US4223 - Retail Finance and Banking US4233 - Financial Assets and Markets SS2103 - Personal Finance US1503 - Accounting for Managers,Finance and Accounting,"Six Sigma, years of teaching experience: 12 years of professional and management experience: 9",Industry and Teaching experience
96,LT9157398,Disha Tiwari,Bristol,09-Aug-09,Kim Hughes,Master of Commerce,Accounting,University Of Dhaka,"Bachelor of Commerce (Accounting), Master of Business Administrator (Business Administration), Master of Commerce (Accounting)",US2203 - Business Stats for Managers SM1003 - Applied Mathematics US2303 - Financial Management SS2103 - Personal Finance US4133 - Managerial Accounting I,Accounting,years of teaching experience: 12years of professional and management experience: 15,Industry and Teaching experience
97,LT9021162,Tim Amusan,Bristol,22-Feb-15,Kim Hughes,Master of Science,Management,Milano Graduate School of Lang,"Post Graduate Diploma (Info. System and Management), Bachelor of Arts (Asian Studies), Master of Science (Management)",US4956 - Integrative Industry Project US4926 - Integrative Industry Project US3203 - Start Gt Bus Simulation,nan,nan,Industry and Teaching experience
98,LT9328961,Ashley Lesile,Bristol,09-Aug-15,Kim Hughes,Ph.D,Internal Auditing,CapePeninsula UnivofTechnology,"Diploma (Business Information Tech), Higher Diploma (Education), Ph.D (Internal Auditing), Bachelor (Accounting and Finance), Masters (Taxation), Post Graduate Diploma (Accounting and Finance)",US3406 - Work Related Learning US4123 - Auditing US4163 - Taxation US1503 - Accounting for Managers,nan,nan,Industry and Teaching experience
99,LT9308826,Jackie Turner,Bristol,06-Sep-15,Nick Omotayo,nan,nan,nan,"Bachelor (Hospitality Management), Masters (Business)",nan,nan,nan,Industry and Teaching experience
100,LT9210710,Kala Jegathjenan,Bristol,31-Aug-10,,MA in Accounting,Accounting,Bowling Green State University,"Bachelor in Business Administration (General Business), MA in Accounting (Accounting)",nan,nan,nan,Industry and Teaching experience
101,LT9303893,James Orr,Bristol,23-Aug-15,,nan,nan,nan,"Masters (Finance), Bachelor (Economics)",nan,nan,nan,Industry and Teaching experience
108,LT9328836,Julie Ayliffe,Brighton,09-Aug-15,Kim Hughes,BA,nan,University of Western Sydney,nan,nan,nan,nan,Industry and Teaching experience
109,LT9000603,Deann Giscombe,Brighton,14-Aug-95,Kim Hughes,Master of Arts,Teaching,The University of Memphis,"Bachelor of Science (Business Adm (Accounting)), Master of Arts (Teaching)",US1203 - Software Apps for Business SS2003 - Creating Your Future,Business Computing,years of teaching experience: 20 years of professional and management experience Professional Certification: CD,Certification
110,LT9252317,Lucy Ska Deadman,Cardiff,26-Aug-12,Harriet Mensah,Ph.D,Banking,The University of Wales,"Certificate (English Language), Master of Arts (Banking and Finance), Ph.D (Banking), Bachelor (Economics)",US4183 - Corporate Finance US4213 - Financial Quantitative Methods US4243 - International Trade and Finance US4273 - Wealth and Risk Management US4263 - Corp Finance and Banking,Finance,years of teaching experience - 11 Industry experience 4 years.,Industry and Teaching experience
111,LT9255235,Michael Stickland,Cardiff,01-Oct-12,Harriet Mensah,Ph.D,Management,Int'l Academy oft &Economics,"Master of Education (Training Development), Ph.D (Management)",US4583 - ISO Standards and Excellence US4543 - Quality Management Tools US2103 - Operations Management,Human Resources,"Work experience-19 years, Teaching -8 years. Certifications-Associate of CSA (Singapore-Up), Associate CMA (Australia), Certified ISO 9000 Lead Assessor.",Certification
112,LT9258347,Delicia Hayes,Cardiff,14-Aug-13,Harriet Mensah,Master of Arts,Economics,University of Illinois,"Bachelor (Economics), Master of Arts (Economics)",US1103 - Economics for Managers SS2103 - Personal Finance,Economics,Years of teaching Exp: 12 Years of Industry Exp -5,Industry and Teaching experience
113,LT9280970,Asim Rafiq,Cardiff,09-Aug-15,Harriet Mensah,Master of Business Administrator,Business Administration,Murdoch University,"Certificate (Executive Education), Bachelor (Electronics Communication), Master of Business Administrator (Business Administration)",US3406 - Work Related Learning SD2213 - Retail Customer Service US1003 - Management and Leadership US1303 - Marketing,nan,nan,Industry and Teaching experience
114,LT9254562,Jason Cahill,Cardiff,16-Sep-12,Harriet Mensah,Master of Education,Instructional Technology,Utah State University,"Master of Education (Instructional Technology), Master of Science (Management), Bachelor of Science (Secondary Education)",US2403 - Innovation and Entrepreneurship,Business Management,"Years of Teaching Experience: 17 Years of Prof. and  Mgm Experience: 14 Prof. Certifications: Level Business Training Certification, TM Management Certification, Professional Online Instructor Certification",Certification
115,LT9001182,Roney Alan,Cardiff,17-Jan-03,Harriet Mensah,Master of Science,Forensic Accounting,University of Portsmouth,"Higher Diploma (Education), Bachelor of Commerce (Commerce), Master of Science (Forensic Accounting)",US4113 - Financial Accounting I US1503- Accounting for Managers,Accounting,Years of Teaching Experience – 28 years Industry Experience – 5 years Management and Supervisory Experience – 3 years Prof. Certifications – CET Associate of ACE (Up),Certification
116,LT9004728,Junior Khoza,Cardiff,27-Jul-02,Harriet Mensah,Master of Business Administrator,Total Quality Management,University of Leicester,"Certificate (Int'l Computer Driving License), Diploma (Business Computing), Higher Diploma (Graphic Arts), Certificate (CET), Master of Business Administrator (Total Quality Management), Diploma (Management)",SH2903 - Community Service Learning SH2203 - Critical Thinking,Management,More than 5 years work experience,Industry and Teaching experience
117,LT9058669,Emma Hazlewood,Cardiff,12-Aug-06,Harriet Mensah,Master of Science,Business Computing Science,Texas A&M University,"Bachelor of Science (Economics), Master of Science (Business Computing Science), Master of Science (Economics)",US4143 - IRS US4173 - Managerial Accounting In US4916 - Integrative Industry Project US4163 - Taxation US4133 - Managerial Accounting I,Economics and General Business,20 years industry experience 20 years teaching experience,Industry and Teaching experience
118,LT9303985,Harvi Bharani,Cardiff,22-Sep-14,Harriet Mensah,Ph.D,Business Management,The University of Edinburgh,"Master of Science (International Business), Bachelor (History), Ph.D (Business Management)",US4533 - Int'l Quality Gt System US4563 - Strategic Marketing Management US4573 - Advanced Strategic Management US4936 - Integrative Industry Project,International business;Entrepreneurship and Innovation; Strategy,"Years of Teaching Experience - 4 Years of Professional and Management Experience - 10 Professional Certifications-Certificate of Entrepreneurship from Cambridge University,",Certification
119,LT9018232,Edi Cinkilic,Cardiff,10-Oct-12,Harriet Mensah,Master of,Criminology and Criminal Justice,Griffith University,"Master of (Criminology and Criminal Justice), Bachelor (Business Management), Higher Diploma (Business Management)",US-1403_(Business Ethics and Corporate) US-3406_(Work Related Learning) SD-1233_(Ethics in a Retail Environment) US-1403_(Business Ethics and Corporate),Human Resource and Marketing Management,Years of Teaching Experience - 13 Years of Professional and Management Experience - 12 Professional Certifications: Oracle Certification,Certification
120,LT9258471,Nicola Cuthbertson,Cardiff,14-Aug-13,Harriet Mensah,Master of Business Administrator,Business Administration,Karnataka State Open Univ,Master of Business Administrator (Business Administration),US1003 - Management and Leadership US1303 - Marketing US4323 - Career Development Planning,"Marketing Management, Human Resource Management, Strategy",Years of Teaching Experience - 14 years Years of Professional and Management Experience - 5 years Professional Certifications: Oracle Certification,Certification
121,LT9251537,Christopher Downie,Cardiff,26-Aug-12,Harriet Mensah,Master of Business Administrator,Management,Univ. of Calif.- Los Angeles,"Bachelor of Science (Business Administration), Juris Doctor (Law), Master of Business Administrator (Management)","US2003 - Business and Commercial Law US4313 - Emil Relations AE Labour Law SH2343 - Ethical Issues US4253 - Law, Ethics and Prof Standards",Commercial Law,16 years Professional+ 5 years Teaching,Industry and Teaching experience
122,LT9003374,Jonathan Conway,Cardiff,11-Jan-92,Harriet Mensah,MA International Business,International Business,University of Wollongong,"MA International Business (International Business), Bachelor of Arts (Mass Communication)",US1303 - Marketing,Marketing Management,Years of Teaching Experience - 6 yrs Years of Professional and Management Experience - 19 yrs Professional Certifications: PGCH and CET,Certification
123,LT9305880,Allan Knox,Cardiff,19-Jan-15,Harriet Mensah,Ph.D,Management,University of Canterbury,"Ph.D (Management), Bachelor (Economics), Post Degree Certificate (Teaching), Masters (Information Management)",US1203 - Software Apps for Business,General Management and Entrepreneurship,Years of teaching experience: 9 years. Years of management experience 6+ years. Graduate Certificate in tertiary teaching,Industry and Teaching experience
124,LT9001037,Peter Jobling,Cardiff,11-Aug-96,Harriet Mensah,Master of Science,SOL,University of Pennsylvania,"Master of Business Administrator (Management), Bachelor (Political Science), Master of Science (SOL)",US2203 - Business Stats for Managers,"Management, Business Statistics",Years of Teaching Experience - 20 yrs Years of Professional and Management Experience - 3 yrs,Industry and Teaching experience
125,LT9301252,Lloyd Johnson,Cardiff,17-Aug-14,Harriet Mensah,Masters,nan,American University of Beirut,"Masters (), Bachelor (Business Administration)",US4153 - Financial Accounting In US4926 - Integrative Industry Project US4123 - Auditing US4223 - Retail Finance and Banking US4233 - Financial Assets and Markets,France and accounting,years teaching experience: 10+ management experience-5 years,Industry and Teaching experience
126,LT9303074,Danny Power ,Cardiff,26-Aug-14,Harriet Mensah,Master of Science,Operational Research,University of Strathclyde,"Master of Science (Operational Research), Bachelor of Science (Electrical Engineering)",US3103 - Internet Bus Globalization US4956 - Integrative Industry Project,Operations Management and Management Sciences and Of,Years of teaching experience: 3+ years. Years of management experience: 4 years,Industry and Teaching experience
127,LT9211326,Jordanne Young,Cardiff,30-Jan-11,Harriet Mensah,Ph.D,Integrated Textile and Apparel Sci,Auburn University,"Ph.D (Integrated Textile and Apparel Sci), Bachelor (Accounting and Finance), Master of Science (Integrated Textile and Apparel Sci)",US4553 - Strategic Supply Chain Manager US3406 - Work Related Learning SD1253 - Arabic Retail Environment US4513 - Start Decisions with Gt Sc SD2033 - Basic Accounting,nan,nan,Industry and Teaching experience
128,LT9010830,Jayke Rouse,Cardiff,13-Aug-04,Harriet Mensah,Master of Business Administrator,International Business,University College Dublin,"Master of Business Administrator (International Business), Diploma (General Management), Graduateship (Marketing)",US1403 - Business Ethics and Corporate US3203 - Start Gt Bus Simulation,Business Administration,"Years of teaching experience: 18 years. Years of management experience 10. Teaching Certification :IM, CET, Cirt in Business Ethics teaching. BA (BD).",Certification
129,LT9001588,Samantha Haynes,Cardiff,24-Jan-10,Harriet Mensah,Master of Business Administrator,Human Resource Management,University of New England,"Graduate Diploma (Educational Studies), Graduate Certificate (Learning Technologies), Master of Business Administrator (Human Resource Management), Diploma (Teaching), Master of Education (SOL)",US4383 - Performance Management US4353 - Int Human Resource Management US4373 - Strategic RM SD2013 - Introduction to Human Resource,Human Resources,12 years Professional+ 8 years teaching,Industry and Teaching experience
130,LT9001193,Mary Aldoseri,Cardiff,16-Aug-97,Harriet Mensah,Master of Commerce,Commerce,University of Wollongong,"Bachelor of Commerce (Commerce), Master of Commerce (Commerce)",US2303 - Financial Management US4283 - Islamic Finance and Banking,Finance,"18 years teaching experience. 3 years Industry experience. Professional Online Instructor Certification. Nikki Chancellors Award for Innovation in Teaching in the Higher Colleges of Technology, August, 2007, IS Certified Webmaster.",Certification
131,LT9234672,Zikida Koudou,Cardiff,26-Aug-12,Harriet Mensah,Masters,Hospitality Management,University of Houston,"Bachelor (Hotel Restaurant Tourism Admin), Masters (Hospitality Management)",US1403 - Business Ethics and Corporate US1203 - Software Apps for Business US2913 - Sustaining Cultural Identity,Economics and Management and Marketing and Tourism and Hospitality,"Yes of Teaching Experience - 15 years Professional and Management Experience - 23 years Professional Certification -Certified Hotel Administration American Hotel Motel Association Educational Institute, October 1989 Holiday Inn University, Holiday Inns, Inc., General Management Seminar, May 1982 Food and Beverage Management Seminar, September 1978",Certification
134,LT9328927,Tina Adams,Belfast,09-Aug-15,Orlamei Princess,Master of International Business,nan,Hunt International Business Sch,nan,US2403 - Innovation and Entrepreneurship US1403 - Business Ethics and Corporate,nan,nan,Industry and Teaching experience
135,LT9276868,James Hart,Belfast,14-Aug-13,Orlamei Princess,Ph.D,Interdisciplinary Studies,University of Marks,"Master of Business Administrator (Systems and Int'l Business), Masters (Economics), Ph.D (Interdisciplinary Studies), Bachelor (Electronics and Instrumentation)",US2203 - Business Stats for Managers US2103 - Operations Management,Business Administration,1. Chartered Manager 2. Associate - College of Teachers 7 years professional+ 7 years teaching experience,Industry and Teaching experience
136,LT9276865,Dennis Harnett,Belfast,14-Aug-13,Orlamei Princess,Ph.D,Human Resource Management,JR Rajasthan Vidyapeeth Univ,"Certificate (Human Resource Management), Bachelor (Business Management), Ph.D (Human Resource Management), Certificate (Law), Master of Business Administrator (Human Resource Management)",US3003 - Managing People andOrganisations US2003 - Business and Commercial Law US4373 - Strategic RM,Human Resources,"5 years professional experience +6 years teaching , PR",Industry and Teaching experience
137,LT9020705,Thomas Best,Belfast,06-Aug-05,Orlamei Princess,Master of Philosophy,Tourism Tourist and Hotel Gt.,The University of Queensland,"Bachelor of Business Admin. (Hospitality-Tourism Management), Master of Philosophy (Tourism Tourist and Hotel Gt.)",US2913 - Sustaining Cultural Identity,Tourism management,"4 years professional+ 21 years Teaching , Certificate 1V Workplace Training and Assessment",Industry and Teaching experience
138,LT9283130,Richard Freeman,Belfast,02-Mar-14,Orlamei Princess,Ph.D,Education,University of Central Florida,"Masters (International Management), Ph.D (Education), Associate Degree (Business Administration), Masters (Software Development), Bachelor of Science (Computer and Information Science)",SD2263 - Socially Responsible Retailing US2403 - Innovation and Entrepreneurship SD2023 - Software Applications In US4563 - Strategic Marketing Management US1203 - Software Apps for Business,Tourism management,20 years teaching and 9 years teaching experience,Industry and Teaching experience
139,LT9328959,Nikki Lawrence,Belfast,09-Aug-15,Orlamei Princess,Ph.D,General Business,Cappella University,Ph.D (General Business),US4843 - Supply Chain Strategy and Gt US4966 - Integrative Industry Project US4643 - Cross Cultural Management,nan,nan,Industry and Teaching experience
140,LT9258935,Adam Leech,Belfast,05-Mar-13,Orlamei Princess,Ph.D,Business Management,Und Negros Accidental-Recoleto,"Master of Business Administrator (Business Administration), Bc in Commerce (Banking and Finance), Ph.D (Business Management)",US4956 - Integrative Industry Project US4813 - Supply Chain Concept/Practices US4543 - Quality Management Tools,nan,nan,Industry and Teaching experience
141,LT9237412,Catherine Mitchell,Belfast,26-Aug-12,Orlamei Princess,Ph.D,Management,J Tibrewala University,"Master of Business Administrator (Business), Ph.D (Management)",US4123 - Auditing SS2103 - Personal Finance SD2033 - Basic Accounting,Accounting,5 years professional + 8 years teaching,Industry and Teaching experience
142,LT9301068,Carol Maxwell,Belfast,24-Aug-14,Orlamei Princess,Bachelor of Science,Finance,Based University,Bachelor of Science (Finance),SD2222 - Retailing Project I SD2067 - Business Work Placement,nan,nan,Industry and Teaching experience
143,LT9283122,Kirsty Miller,Belfast,11-Feb-14,Orlamei Princess,Ph.D,Economics,The University of Manchester,"Master of Arts (Economics), Ph.D (Economics), Masters (International Economics)",US2203 - Business Stats for Managers US1103 - Economics for Managers US1203 - Software Apps for Business US4663 - International Trade,nan,nan,Industry and Teaching experience
144,LT9328996,Zikida Koudou,Belfast,09-Aug-15,Orlamei Princess,Ph.D,Economics Science,University of Montenegro,"Ph.D (Economics Science), Bachelor (Ecological Science), Masters (International Business)",US3103 - Internet Bus Globalization SD2252 - Retailing Project In SD2067 - Business Work Placement US2913 - Sustaining Cultural Identity,nan,nan,Industry and Teaching experience
145,LT9284496,Gurjeet Kaur Judge,Belfast,13-Apr-14,Orlamei Princess,Bachelor of Business Admin.,Management,Kent University,Bachelor of Business Admin. (Management),US1403 - Business Ethics and Corporate SD2067 - Business Work Placement US1003 - Management and Leadership,nan,nan,Industry and Teaching experience
146,LT9001939,Trevor Halliday,Belfast,22-Jan-00,Orlamei Princess,Masters,Applied Linguistics,Univ of Southern Queensland,"Diploma (Early Childhood Education), Graduate Diploma (Second Language Teaching), Masters (Applied Linguistics), Master of Science (Training and Performance Gt.), Bachelor of Education (Asian Studies)",US4323 - Career Development Planning US2913 - Sustaining Cultural Identity US4343 - Training and Development,RM,19 years Teaching,Industry and Teaching experience
147,LT9001102,Joshua Campbell,Belfast,11-Jan-97,Orlamei Princess,Master of Law,Law,University of Northumbria,"Master of Law (Law), A in Banking (Banking)",US2003 - Business and Commercial Law US4313 - Emil Relations AE Labour Law US1503 - Accounting for Managers,Law,17 years Professional+29 Years Teaching,Industry and Teaching experience
148,LT9216528,Stephanie Gillan,Belfast,10-Feb-11,Orlamei Princess,Master of Strategic He mgm.,Human Resource Management,University of Wollongong,Master of Strategic He mgm. (Human Resource Management),US3406 - Work Related Learning US1003 - Management and Leadership,RM,2 years experience,Industry and Teaching experience
149,LT9062197,Natasha Duffy,Belfast,24-Jan-10,Orlamei Princess,Master of Business Administrator,Business Administration,University Of Dhaka,"Master of Business Administrator (Business Administration), Bachelor (Finance)",US3103 - Internet Bus Globalization SD1223 - Marketing Principles US1303 - Marketing,Marketing,19 years professional+ 6 years Teaching,Industry and Teaching experience
150,LT9135620,Thomas Czekirda,Belfast,21-Sep-08,Orlamei Princess,Doctorate in Philosophy,Management,Devi Ahli Vishwavidyalaya,"Bachelor of Commerce (Commerce), Doctorate in Philosophy (Management), Master of Business Administrator (Finance)",US4623 - International Business Finance US4213 - Financial Quantitative Methods US4243 - International Trade and Finance US4273 - Wealth and Risk Management,Finance,3 years professional+ 18 years Teaching,Industry and Teaching experience
151,LT9276619,Timsam Hodgins,Belfast,14-Aug-13,Orlamei Princess,Ph.D in Education,Organization And Leadership,University of San Francisco,"Ph.D in Education (Organization And Leadership), Master of Business Administrator (Business Administration), Bachelor (Commerce)",US2403 - Innovation and Entrepreneurship US3903 - Contemporary Business SD2013 - Introduction to Human Resource,Management,12 years professional+ 3.5 years teaching,Industry and Teaching experience
152,LT9135140,Jennifer Mccabe,Belfast,16-Aug-09,Orlamei Princess,Master of Business Administrator,Business Administration,University of Marks,"Master of Business Administrator (Business Administration), Bachelor of Business Admin. (Business Administration)",US2103 - Operations Management,Marketing,7 years Professional+ 8 years teaching,Industry and Teaching experience
153,LT9012697,Dean Adams,Belfast,29-Jan-05,Orlamei Princess,Master of Science,International Administration,School for Intl. Training,"Master of Science (International Administration), Bachelor of Science (Finance)",US3406 - Work Related Learning US3903 - Contemporary Business US1203 - Software Apps for Business,Management,16 years Professional+ 8 years Teaching,Industry and Teaching experience
154,LT9329005,Rudo Mutonono,Belfast,09-Aug-15,Orlamei Princess,Doctorate,nan,Technical University of Varna,nan,US3903 - Contemporary Business US1203 - Software Apps for Business SD2067 - Business Work Placement US1303 - Marketing,nan,nan,Industry and Teaching experience
155,LT9251080,Zhorna Ali,Belfast,26-Aug-12,Rob Jenkins,Master of Professional Studies,Information Technology,Auckland University of Techno,"Higher Diploma (Computer Studies), Certificate (Adult Education), Post Graduate Diploma (Economics), Master of Professional Studies (Information Technology), Certificate (Adult and Vocational Education), Post Graduate Certificate (Business), Bachelor (Arts), Bachelor (Business In), Diploma (Computer Studies), Certificate (Adult Education), Master of Business Administrator (Marketing)",US3003 - Managing People andOrganisations US4573 - Advanced Strategic Management US1303 - Marketing US4373 - Strategic RM,"Marketing , General Business",9 years Professional+ 5 years teaching,Industry and Teaching experience
156,200121970,Frances Card,Belfast,11-Jan-15,Rob Jenkins,Master of Business Administrator,Business Administration,University of Wollongong,"Certificate (General Business and Info Tech), Master of Business Administrator (Business Administration), Bachelor of Applied Science (Business Adm (General)), Diploma (Applied Business Skills), Higher Diploma (Business and Gt (General))",US2303 - Financial Management SD2043 - Practical Accounting,nan,nan,Industry and Teaching experience
157,LT9020710,Dean Homer,Belfast,10-Apr-11,Rob Jenkins,Master of Arts,Economics,Univ of National And World Eco,Master of Arts (Economics),US3003 - Managing People andOrganisations US4383 - Performance Management US4936 - Integrative Industry Project,Human Resources and GeneralBusiness,16 Years of industry and 8 years of teaching Exp,Industry and Teaching experience
158,LT9305046,Claire Byrne,Belfast,13-Oct-14,Rob Jenkins,Masters,International Management,American Grad Sch of Intl Mgm,"Bachelor of Arts (Politics and Government), Juris Doctor (Law), Masters (International Management)","US3103 - Internet Bus Globalization US4673 - International Law US4253 - Law, Ethics and Prof Standards",Law and Business,29 years industry and 7 years Teaching,Industry and Teaching experience
159,LT9097904,Liam Robson,Belfast,12-Aug-07,Rob Jenkins,Doctorate in Philosophy,Commerce,CS Vista Mahavidyalaya,"Bachelor of Commerce (Commerce), Doctorate in Philosophy (Commerce), Bachelor of Science (Accounting), Master of Commerce (Commerce)",US4173 - Managerial Accounting In US2303 - Financial Management US1503 - Accounting for Managers,Accounting,"9 years professional+ 14years teaching , ACC,MA,ACA",Industry and Teaching experience
160,LT9330711,Alun Day,Belfast,03-Sep-15,Rob Jenkins,Master of Business Administration (BA) and MA (Economics),nan,"American University-Washington De, USA and University of Kansas, USA",nan,US2203 - Business Stats for Managers US4553 - Strategic Supply Chain Manager US3406 - Work Related Learning US4513 - Start Decisions with Gt Sc,nan,nan,Industry and Teaching experience
161,200022178,Amandeep Nahal.,Belfast,29-Jan-12,Rob Jenkins,Executive BA,Business,Liverpool University,"Higher Diploma (Business Info. Technology), Bachelor of Applied Science (Business Info. Technology), Executive BA (Business)",US1403 - Business Ethics and Corporate US1003 - Management and Leadership,Management,6 years professional experience,Industry and Teaching experience
162,200022732,Sophie Park,Belfast,14-Aug-13,Rob Jenkins,Masters,Quality Management,University of Wollongong,"Bachelor of Applied Science (Business Information Tech), Masters (Quality Management), Higher Diploma (Business Information Tech)",US4583 - ISO Standards and Excellence US4956 - Integrative Industry Project US4553 - Strategic Supply Chain Manager,Quality Management,5 years professional experience,Industry and Teaching experience
163,LT9134534,Fergus Mackie,Belfast,26-Aug-08,Rob Jenkins,Ph.D,International Education,University of Incarnate Word,"Master of Arts (International Relation), Master of Business Administrator (Business Administration), Ph.D (International Education)",US3903 - Contemporary Business US4513 - Start Decisions with Gt Sc US3203 - Start Gt Bus Simulation US4363 - Managing Organizational Change,Management,3years professional+ 7 years teaching,Industry and Teaching experience
164,LT9134202,Jenny Hughes,Belfast,17-Aug-08,Rob Jenkins,Doctorate in Philosophy,Accounting,Guwahati University,"Bachelor of Commerce (Accounting), Master of Commerce (Accounting), Certificate (Chartered Accountant), Doctorate in Philosophy (Accounting)",US4143 - IRS US4123 - Auditing US4916 - Integrative Industry Project US4163 - Taxation,Accounting,5 years professional+ 14 years Teaching,Industry and Teaching experience
165,LT9002105,Ilyas Sabir,Belfast,12-Aug-00,Rob Jenkins,Master of Business Administrator,Business Administration,Period-Watt University,"Diploma (Secretariat Course), Diploma (Marketing), Bachelor of Arts (Social Studies), Certificate (Marketing), Master of Business Administrator (Business Administration)",US3406 - Work Related Learning US4563 - Strategic Marketing Management SD1243 - Retail Operations US4653 - International Marketing US4823 - Logistics and Transportation 1,Marketing,13 years professional+ 16 years Teaching,Industry and Teaching experience
166,LT9001300,Darren Lucas,Belfast,01-Sep-97,Rob Jenkins,Ph.D,Business Administration,Swiss Management Center,"Master of Business Leadership (Business Leadership), Ph.D (Business Administration), Master of Arts (Psychology)",US4573 - Advanced Strategic Management US3203 - Start Gt Bus Simulation,Management,17 years Professional+16 Years Teaching,Industry and Teaching experience
167,LT9281421,John P Davis,Belfast,08-Dec-13,Rob Jenkins,Masters,Business Administration,Kent University,"Masters (Business Administration), Bachelor (Management Information System)",US3406 - Work Related Learning US1003 - Management and Leadership,Qualityand Strategic Management,4 years professional experience,Industry and Teaching experience
168,LT9301202,Amarit Singh,Belfast,24-Aug-14,Rob Jenkins,Master of Business Administrator,Business Administration,University of San Austin,"Master of Business Administrator (Business Administration), Post Degree Certificate (Education Instructors Course), Bachelor (Commerce)",US4333 - Recruitment and Selection US4353 - Int Human Resource Management,He and Management,14 Years Teachingand 4 years industry experience e,Industry and Teaching experience
169,LT9098325,Moses Friday,Belfast,12-Aug-07,Rob Jenkins,Ph.D,Organisation Mgm In Mgm,Cappella University,"Master of Science (Public Administration), Bachelor of Science (Public Administration), Ph.D (Organisation Mgm In Mgm)",US4533 - Int'l Quality Gt System US1003 - Management and Leadership,Management,5 years teaching Experience,Industry and Teaching experience
170,LT9058092,Ed Dsane,Belfast,26-Aug-12,Rob Jenkins,MA in International Business,International Business,Hunt International Business Sch,MA in International Business (International Business),US2303 - Financial Management US4926 - Integrative Industry Project SS2103 - Personal Finance,International Business,1 year experience,Industry and Teaching experience
171,LT9004706,John Small,Belfast,25-Oct-04,Rob Jenkins,Ph.D,Management,Swiss Management Center,"Master of Business Administrator (Information Technology), Ph.D (Management)",SD1233 - Ethics in a Retail Environment SD2233 - Retail Marketing SD2213 - Retail Customer Service,Management,"CSE, CP, 9 years Teaching",Industry and Teaching experience
172,LT9157143,Murray Moore,Belfast,08-Aug-09,Rob Jenkins,Master of Business Administrator,Business Administration,Univ of Louisville,"Master of Business Administrator (Business Administration), Bachelor of Business Admin. (Marketing)",US2403 - Innovation and Entrepreneurship US1203 - Software Apps for Business,General Business and Entrepreneurship,"15 years of professional and management experience, 8 years of teaching experience, CET, CI Practitioner",Industry and Teaching experience
173,LT9276936,Stephen Peach,Belfast,14-Aug-13,Rob Jenkins,Ph.D,Commerce,DST Women's University,"Post Graduate Diploma (Accounting and Finance), Bachelor (Accounting and Finance), Masters (Accounting and Finance), Ph.D (Commerce)",US2303 - Financial Management US1503 - Accounting for Managers US4133 - Managerial Accounting I,Financeand Accounting,3 years professional+ 14 years Teaching,Industry and Teaching experience
174,LT9329001,Rifat Jamil,Belfast,09-Aug-15,Rob Jenkins,Ph.D,Business Administration,California Coast University,"Masters (International Business), Ph.D (Business Administration)",US3003 - Managing People andOrganisations US3406 - Work Related Learning US4863 - Procurement and Inventory Gt US4833 - Manufacturing in Supply Chain,nan,nan,Industry and Teaching experience
175,LT9001148,Afridi Babany,Belfast,04-Mar-97,Rob Jenkins,Masters of Distance Education,Education,Univ of Southern Queensland,"Post Graduate Certificate (Teaching), Diploma (Commerce), Masters of Distance Education (Education)",US3103 - Internet Bus Globalization US3406 - Work Related Learning US1003 - Management and Leadership US4373 - Strategic RM,Management,2 years professional +30 years teaching,Industry and Teaching experience
176,LT9305052,Kris Aslett,Belfast,12-Oct-14,Rob Jenkins,Master of Commerce,Finance,University of the Punjab,"Masters (Business), Master of Commerce (Finance), Bachelor of Commerce (Commerce)",US4183 - Corporate Finance US4683 - Middle East Debt. and Logistics US4233 - Financial Assets and Markets US4663 - International Trade,Finance,8 years teaching and 4 years industry,Industry and Teaching experience
